3297,"GREAT",11928,"ANCORAGGIO IN RADA",16,"2018-01-03 08:50"
3297,"GREAT",11928,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 08:30"
3297,"GREAT",11928,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-13 10:10"
3297,"GREAT",11928,"DA RADA A ORMEGGIO",20,"2018-01-12 07:45"
3297,"GREAT",11928,"DISORMEGGIO PER PARTENZA",23,"2018-01-15 06:45"
3297,"GREAT",11928,"NAVE FUORI VISTA",26,"2018-01-15 07:30"
3298,"BFP GALAXY",12993,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 13:00"
3298,"BFP GALAXY",12993,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 10:30"
3298,"BFP GALAXY",12993,"NAVE FUORI VISTA",26,"2018-01-04 12:00"
3298,"BFP GALAXY",12993,"NAVE IN ENTRATA",14,"2018-01-03 13:45"
3298,"BFP GALAXY",12993,"ORMEGGIO NAVE",17,"2018-01-03 14:40"
3298,"BFP GALAXY",12993,"ORMEGGIO NAVE",17,"2018-01-03 14:42"
3299,"SINOP",13957,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 05:15"
3299,"SINOP",13957,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 16:34"
3299,"SINOP",13957,"NAVE FUORI VISTA",26,"2018-01-04 17:20"
3299,"SINOP",13957,"NAVE IN ENTRATA",14,"2018-01-03 09:25"
3299,"SINOP",13957,"ORMEGGIO NAVE",17,"2018-01-03 10:15"
3300,"MAIRA",13375,"ANCORAGGIO IN RADA",16,"2018-01-03 14:24"
3300,"MAIRA",13375,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 13:48"
3300,"MAIRA",13375,"DA RADA A ORMEGGIO",20,"2018-01-04 14:55"
3300,"MAIRA",13375,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 11:15"
3300,"MAIRA",13375,"NAVE FUORI VISTA",26,"2018-01-05 12:30"
3304,"SIDER KING",13415,"ANCORAGGIO IN RADA",16,"2018-01-04 22:48"
3304,"SIDER KING",13415,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 22:30"
3304,"SIDER KING",13415,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-07 00:10"
3304,"SIDER KING",13415,"DA RADA A ORMEGGIO",20,"2018-01-05 21:00"
